Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
54,0.45,-0.023555,0.011532,-0.994923,-0.097166,-0.342948,0.311779,0.373536,0.003697,-0.044319,0.937982,0.343819,-0.223874,0.513946,0.373978,0.026665,0.000966,-0.960831,-0.275848,-0.328431,0.366796,1.279297,step_decsent
55,0.458333,-0.023386,0.01231,-0.994886,-0.097482,-0.342961,0.311671,0.373512,0.003691,-0.043734,0.937866,0.344212,-0.223945,0.513905,0.374034,0.025877,0.00086,-0.960979,-0.275408,-0.329463,0.366067,1.279091,step_decsent
56,0.466667,-0.023365,0.012709,-0.994857,-0.097731,-0.342953,0.311593,0.373468,0.003671,-0.042988,0.937753,0.344612,-0.224025,0.513867,0.374121,0.02498,4.1e-05,-0.961281,-0.274436,-0.330314,0.365184,1.278996,step_decsent
57,0.475,-0.02339,0.013243,-0.994827,-0.09796,-0.342949,0.31153,0.373404,0.003414,-0.042308,0.937625,0.345047,-0.224108,0.513835,0.374206,0.024958,3e-05,-0.961525,-0.273581,-0.331231,0.364363,1.278682,step_decsent
58,0.483333,-0.023247,0.013536,-0.994758,-0.098659,-0.342894,0.311421,0.373339,0.003373,-0.041402,0.937486,0.345535,-0.224211,0.513805,0.374325,0.024895,-0.000613,-0.961725,-0.272883,-0.332134,0.363664,1.278453,step_decsent
59,0.491667,-0.023511,0.014187,-0.994721,-0.098875,-0.342882,0.311367,0.373252,0.003414,-0.04054,0.937408,0.345847,-0.224292,0.513804,0.37446,0.025017,-0.000538,-0.961934,-0.272133,-0.333163,0.362865,1.278097,step_decsent
60,0.5,-0.023636,0.014585,-0.994683,-0.099168,-0.342878,0.311313,0.373176,0.003525,-0.040347,0.937355,0.346014,-0.224444,0.513844,0.374706,0.024706,-0.000941,-0.96213,-0.271467,-0.334086,0.362123,1.277798,step_decsent
61,0.508333,-0.023887,0.014936,-0.994648,-0.099405,-0.342868,0.311258,0.373078,0.003558,-0.039966,0.937396,0.345948,-0.224622,0.513924,0.375134,0.025267,-0.001775,-0.962299,-0.270811,-0.334873,0.36118,1.277598,step_decsent
62,0.516667,-0.024173,0.01537,-0.994623,-0.099522,-0.342843,0.311226,0.372968,0.003819,-0.038442,0.936927,0.347383,-0.224928,0.513818,0.37539,0.024227,-0.00301,-0.962433,-0.270419,-0.335621,0.360578,1.277338,step_decsent
63,0.525,-0.024458,0.015678,-0.99459,-0.099738,-0.342815,0.311178,0.372852,0.00271,-0.036782,0.936239,0.349423,-0.225293,0.513688,0.375706,0.023388,-0.001354,-0.962589,-0.269952,-0.336742,0.35962,1.276792,step_decsent
64,0.533333,-0.024756,0.016084,-0.994564,-0.09985,-0.342791,0.311145,0.372734,0.001226,-0.035441,0.935287,0.352109,-0.225743,0.513499,0.376066,0.022361,-0.00144,-0.962806,-0.269262,-0.337454,0.358727,1.276453,step_decsent
65,0.541667,-0.025214,0.016343,-0.994539,-0.099944,-0.342746,0.311109,0.372587,-0.001941,-0.035201,0.934453,0.354336,-0.226218,0.513346,0.376685,0.021828,-0.001836,-0.96295,-0.26879,-0.338301,0.357786,1.276158,step_decsent
66,0.55,-0.025588,0.016605,-0.994515,-0.100046,-0.342702,0.311098,0.372452,-0.006544,-0.035268,0.933817,0.355949,-0.226719,0.513298,0.377636,0.020825,-0.001435,-0.962924,-0.268964,-0.339035,0.357188,1.275789,step_decsent
67,0.558333,-0.025949,0.016743,-0.994488,-0.100201,-0.342642,0.311076,0.372329,-0.012361,-0.033568,0.933042,0.357983,-0.227262,0.513101,0.378762,0.020006,-0.00074,-0.963023,-0.268673,-0.339965,0.356435,1.27538,step_decsent
68,0.566667,-0.026484,0.016898,-0.994472,-0.10019,-0.342571,0.311044,0.372194,-0.019267,-0.030323,0.931777,0.361248,-0.227939,0.512703,0.380006,0.019011,0.000614,-0.963004,-0.268816,-0.340705,0.355693,1.274852,step_decsent
69,0.575,-0.026846,0.017149,-0.994447,-0.100299,-0.342512,0.311013,0.372058,-0.027521,-0.025811,0.930221,0.365054,-0.228799,0.512221,0.381488,0.01814,0.001022,-0.963034,-0.268767,-0.341375,0.354833,1.27452,step_decsent
70,0.583333,-0.027314,0.017333,-0.994421,-0.100404,-0.34246,0.310997,0.371928,-0.036363,-0.021847,0.928453,0.369021,-0.229793,0.511678,0.383079,0.016758,0.00052,-0.963258,-0.268054,-0.341848,0.353836,1.274558,step_decsent
71,0.591667,-0.027647,0.017614,-0.994401,-0.100455,-0.342414,0.310967,0.371812,-0.046274,-0.018233,0.926601,0.372743,-0.230943,0.511061,0.3849,0.016559,0.000163,-0.963357,-0.26771,-0.342125,0.352893,1.274249,step_decsent
72,0.6,-0.027947,0.017937,-0.994384,-0.100484,-0.342368,0.31092,0.371717,-0.056853,-0.014846,0.924464,0.376714,-0.23226,0.510491,0.386904,0.016371,0.002109,-0.963178,-0.268357,-0.342545,0.351995,1.273638,step_decsent
73,0.608333,-0.028251,0.018292,-0.994365,-0.10053,-0.342332,0.310877,0.371631,-0.069215,-0.012182,0.922194,0.380288,-0.233575,0.509869,0.3891,0.015887,0.003177,-0.963303,-0.267928,-0.34296,0.350843,1.273373,step_decsent
74,0.616667,-0.028484,0.018731,-0.994356,-0.100468,-0.342293,0.310828,0.371538,-0.082763,-0.009827,0.919858,0.383296,-0.235333,0.50939,0.391515,0.016734,0.005055,-0.963542,-0.266986,-0.343108,0.349944,1.272878,step_decsent
