Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
43,0.358333,-0.072849,-0.057545,0.103572,-0.99028,-0.94309,1.250689,0.063081,0.051428,-0.011017,0.441294,-0.89582,-1.051736,1.028841,0.046761,-0.024878,-0.03686,0.187699,-0.981219,-0.99865,1.018345,0.945901,jog
44,0.366667,-0.076208,-0.065198,0.092921,-0.99061,-0.942837,1.247351,0.065552,0.050963,-0.010878,0.441702,-0.895647,-1.051825,1.028788,0.046766,-0.025292,-0.036113,0.189038,-0.98098,-0.99757,1.016305,0.94562,jog
45,0.375,-0.079023,-0.071225,0.0852,-0.990668,-0.942044,1.242866,0.06855,0.050367,-0.010778,0.442175,-0.895449,-1.051918,1.028734,0.04678,-0.025539,-0.034184,0.19042,-0.980775,-0.996208,1.014263,0.945526,jog
46,0.383333,-0.081775,-0.077473,0.0765,-0.990686,-0.941447,1.238479,0.071592,0.049801,-0.010596,0.442673,-0.895237,-1.052002,1.028671,0.046795,-0.025061,-0.031603,0.191471,-0.980669,-0.994854,1.011692,0.944603,jog
47,0.391667,-0.083173,-0.082408,0.070344,-0.990628,-0.940599,1.233361,0.074775,0.049081,-0.010373,0.443185,-0.895026,-1.052099,1.028596,0.046795,-0.026198,-0.029765,0.193881,-0.980224,-0.993083,1.009613,0.944516,jog
48,0.4,-0.085977,-0.087052,0.065415,-0.990329,-0.939566,1.227923,0.077958,0.04837,-0.010076,0.443511,-0.894906,-1.052165,1.028452,0.046802,-0.024901,-0.028943,0.195147,-0.980031,-0.991279,1.007487,0.944328,jog
49,0.408333,-0.086448,-0.091001,0.061543,-0.990181,-0.937931,1.221457,0.081061,0.047866,-0.009965,0.444015,-0.894685,-1.05226,1.028356,0.046807,-0.027406,-0.025936,0.197611,-0.979554,-0.989443,1.005157,0.944426,jog
50,0.416667,-0.086652,-0.095288,0.059018,-0.989913,-0.936118,1.214759,0.083798,0.047378,-0.009909,0.444537,-0.894452,-1.052349,1.028265,0.0468,-0.025935,-0.027554,0.200346,-0.978994,-0.987939,1.002275,0.943216,jog
51,0.425,-0.086356,-0.100384,0.058152,-0.989487,-0.93406,1.207676,0.086265,0.046903,-0.009874,0.445094,-0.8942,-1.052423,1.028162,0.046797,-0.02321,-0.028571,0.201775,-0.97874,-0.985212,0.999476,0.942775,jog
52,0.433333,-0.083129,-0.104599,0.058375,-0.989313,-0.93147,1.199938,0.088599,0.045686,-0.00935,0.445981,-0.893827,-1.05252,1.02797,0.04688,-0.022329,-0.028561,0.204085,-0.978282,-0.982795,0.996921,0.942495,jog
53,0.441667,-0.082564,-0.107909,0.060894,-0.988853,-0.928543,1.191814,0.090768,0.044402,-0.009035,0.446766,-0.893503,-1.0526,1.027785,0.046921,-0.02218,-0.029601,0.205387,-0.977982,-0.980664,0.994855,0.942388,jog
54,0.45,-0.07264,-0.115663,0.058622,-0.988893,-0.924527,1.182639,0.093307,0.046814,-0.010797,0.446951,-0.893267,-1.05268,1.027797,0.046793,-0.018393,-0.029865,0.208688,-0.977353,-0.977828,0.99218,0.940969,jog
