Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
33,0.275,0.043337,0.0035,0.41075,0.910711,-1.532159,-0.697097,0.018202,-0.06999,-0.000883,-0.054295,0.996069,-1.475954,-0.920639,0.01268,-0.019618,0.000273,-0.268398,-0.963108,-1.49227,-0.832288,0.923092,quasi
34,0.283333,0.043363,0.003357,0.410643,0.910758,-1.532177,-0.697105,0.018209,-0.069993,-0.000791,-0.054475,0.996059,-1.475955,-0.920612,0.012672,-0.019048,-5.6e-05,-0.268464,-0.963101,-1.49231,-0.831092,0.923137,quasi
35,0.291667,0.043463,0.002597,0.410508,0.910817,-1.532194,-0.697146,0.018238,-0.070295,-0.000666,-0.054571,0.996032,-1.475937,-0.920586,0.012692,-0.018764,-2.1e-05,-0.268764,-0.963023,-1.492234,-0.83003,0.923065,quasi
36,0.3,0.044009,0.00298,0.410357,0.910858,-1.532152,-0.697216,0.018158,-0.070427,-0.000687,-0.054644,0.996019,-1.47593,-0.920569,0.012684,-0.018578,-0.000552,-0.268054,-0.963225,-1.492392,-0.828995,0.923091,quasi
37,0.308333,0.043511,0.00307,0.4104,0.910862,-1.5322,-0.69717,0.018157,-0.070733,-0.000638,-0.054794,0.995989,-1.475937,-0.920552,0.012679,-0.016533,0.001475,-0.27145,-0.962309,-1.491968,-0.826724,0.92361,quasi
38,0.316667,0.044938,0.003467,0.407711,0.911998,-1.532552,-0.696958,0.018212,-0.070974,-0.000623,-0.054812,0.995971,-1.475919,-0.920527,0.012677,-0.016877,0.001373,-0.270934,-0.962449,-1.492023,-0.82583,0.92356,quasi
39,0.325,0.04761,0.003084,0.407792,0.911828,-1.53259,-0.69709,0.018207,-0.071151,-0.000693,-0.054924,0.995952,-1.475934,-0.920507,0.01265,-0.017177,-0.000916,-0.267437,-0.963422,-1.492374,-0.825716,0.922741,quasi
40,0.333333,0.045785,0.002351,0.40787,0.911888,-1.532613,-0.697231,0.018049,-0.071633,-0.000525,-0.054923,0.995918,-1.475933,-0.9205,0.01267,-0.015485,0.000604,-0.270946,-0.96247,-1.492025,-0.823223,0.9234,quasi
41,0.341667,0.045516,0.00076,0.407544,0.91205,-1.53274,-0.697335,0.018099,-0.071885,-0.000542,-0.054994,0.995896,-1.475905,-0.920482,0.012688,-0.015369,7.2e-05,-0.270424,-0.962619,-1.492127,-0.822086,0.923217,quasi
42,0.35,0.046741,0.000623,0.407154,0.912163,-1.532864,-0.697241,0.018213,-0.072254,-0.000608,-0.055018,0.995867,-1.475888,-0.920453,0.012687,-0.015198,-0.000474,-0.270147,-0.962699,-1.492214,-0.82081,0.923156,quasi
43,0.358333,0.046642,0.000566,0.407053,0.912213,-1.53292,-0.697224,0.018238,-0.072536,-0.00061,-0.055163,0.995839,-1.475893,-0.920426,0.012689,-0.014865,2.6e-05,-0.270056,-0.96273,-1.492264,-0.819522,0.923146,quasi
44,0.366667,0.046424,0.000558,0.406756,0.912356,-1.532985,-0.697168,0.018271,-0.072626,-0.000643,-0.055204,0.99583,-1.475906,-0.920399,0.012674,-0.014355,0.00023,-0.269624,-0.962859,-1.49219,-0.818138,0.9232,quasi
45,0.375,0.046252,0.000642,0.406754,0.912366,-1.533,-0.697138,0.018263,-0.072979,-0.000563,-0.055258,0.995801,-1.475884,-0.920367,0.012695,-0.015062,0.000714,-0.269483,-0.962887,-1.492309,-0.816781,0.923321,quasi
46,0.383333,0.047252,0.001376,0.406182,0.912569,-1.532984,-0.697258,0.018123,-0.074987,-0.001461,-0.054731,0.99568,-1.475888,-0.920434,0.012594,-0.01465,0.000607,-0.269296,-0.962946,-1.492292,-0.815452,0.923242,quasi
