frame_id,timestamp,gait_type,root_position_x,root_position_y,root_position_z,root_orientation_x,root_orientation_y,root_orientation_z,root_linear_velocity_x,root_linear_velocity_y,root_linear_velocity_z,root_angular_velocity_x,root_angular_velocity_y,root_angular_velocity_z,left_linear_velocity_x,left_linear_velocity_y,left_linear_velocity_z,right_linear_velocity_x,right_linear_velocity_y,right_linear_velocity_z,left_pos_rel_x,left_pos_rel_y,left_pos_rel_z,right_pos_rel_x,right_pos_rel_y,right_pos_rel_z
37,0.154167,walk,-1.377562,-0.163357,0.944342,-0.012763,0.023025,0.011609,0.0124790016798514,-0.1715862730981504,-0.0057595392368668,0.0371447000495397,0.1577016802518707,-0.0172748955641881,0.0002399808015694,0.0002399808015361,0.0004799616030714,-0.004079673626094,-0.0059995200383962,0.0028797696184309,-0.0138329999999999,0.188081,-0.923175,0.0008049999999999,-0.124783,-0.925198
38,0.158333,walk,-1.377488,-0.164072,0.944317,-0.012695,0.023425,0.011587,0.0177628420547065,-0.1716274603936612,-0.0060009601536372,0.0301102188365455,0.1922838088660862,-0.0137152742590092,-0.0012001920307327,0.0105616898703789,0.0012001920307252,-0.002880460873716,-0.005040806529043,0.0012001920307244,-0.0139119999999999,0.18884,-0.923145,0.0007190000000001,-0.124089,-0.925168
39,0.1625,walk,-1.377347,-0.164777,0.944328,-0.012652,0.023603,0.011609,0.0338372930165458,-0.1691864650827959,0.0026397888168906,0.0198626968140988,0.0858152509261846,0.0090089152065148,0.0002399808015161,0.0035997120230384,0.0019198464122872,-0.0031197504199761,-0.0033597312215056,-0.0016798656107511,-0.0140519999999999,0.18956,-0.923148,0.0005650000000001,-0.123398,-0.925186
40,0.166667,walk,-1.377174,-0.165524,0.944316,-0.012569,0.023661,0.011609,0.0415166786657548,-0.1792656587472995,-0.0028797696184067,0.0394966561974334,0.0282883669949522,-0.0012924712240744,0.0011999040076872,0.0050395968322534,0.0033597312215023,-0.0033597312214923,-0.0031197504199628,-0.0033597312215023,-0.0142200000000001,0.190328,-0.923122,0.0003779999999999,-0.122664,-0.925188
41,0.170833,walk,-1.37704,-0.166262,0.944271,-0.012436,0.023934,0.011515,0.0321651464233932,-0.1771483437349947,-0.0108017282765417,0.0612096066334221,0.1312245410336311,-0.0482437442416714,-0.0009601536245542,0.0026404224675949,0.0012001920307244,-0.0024003840614655,0.0,-0.0072011521843491,-0.0143579999999998,0.191077,-0.923072,0.000234,-0.121926,-0.925173
42,0.175,walk,-1.376943,-0.166992,0.94425,-0.012329,0.024348,0.011495,0.0232781377489835,-0.1751859851211933,-0.0050395968322385,0.0487622789429304,0.1991940976460778,-0.0132456039071764,-0.0009599232061711,-0.0002399808015361,0.0021598272138234,-0.0026397888168906,-0.0016798656107461,-0.0031197504199662,-0.014459,0.191806,-0.923042,0.000126,-0.1212029999999999,-0.925165
43,0.179167,walk,-1.376824,-0.167752,0.944215,-0.012311,0.024537,0.011423,0.0285577153827646,-0.182385409167269,-0.0083993280537574,0.006733623166324,0.0903812560138491,-0.0358542705018815,-0.0014398848092033,0.0026397888168947,0.0019198464122864,-0.0023998080153744,0.0009599232061444,-0.0057595392368609,-0.0145839999999999,0.192577,-0.922999,-2.9999999999752447e-06,-0.1204389999999999,-0.925154
44,0.183333,walk,-1.37666,-0.1685,0.944217,-0.01221,0.02466,0.011331,0.0393662986077899,-0.1795487277964469,0.0004800768122771,0.0467021651606305,0.0590452601921443,-0.0460587609622139,0.0026404224675907,0.0031204992798845,0.0050408065290446,-0.0043206913106273,0.0009601536245675,-0.0043206913106098,-0.014737,0.193338,-0.92298,-0.0001850000000001,-0.119687,-0.925174
45,0.1875,walk,-1.376474,-0.169275,0.944177,-0.012073,0.024811,0.011292,0.0446364290856777,-0.185985121190304,-0.009599232061418,0.0644369199815135,0.072970415871751,-0.0212111849403918,0.0,0.0009599232061436,0.0016798656107511,-0.0019198464122889,0.0004799616030722,-0.0067194624430046,-0.014923,0.194117,-0.922933,-0.0003790000000001,-0.11891,-0.925162
46,0.191667,walk,-1.376634,-0.169988,0.944094,-0.012453,0.024538,0.012087,-0.0383969282457254,-0.1711063114950781,-0.019918406527491,-0.1714040591478304,-0.1283288652439314,0.3875504494949111,-0.0009599232061711,0.0055195584353256,0.0050395968322534,-0.0035997120230084,-0.0026397888168906,-0.0011999040076797,-0.0147670000000001,0.194853,-0.922829,-0.000234,-0.118208,-0.925084
47,0.195833,walk,-1.37653,-0.170763,0.944013,-0.012527,0.024881,0.012242,0.0249639942390499,-0.1860297647623613,-0.019443110897743,-0.0357398003625523,0.1652187916122333,0.073263258385244,0.0,0.0031204992798845,0.003600576092175,-0.0048007681228778,-0.0021603456553003,-0.0024003840614497,-0.014871,0.195641,-0.922733,-0.0003579999999998,-0.1174419999999999,-0.925013
