Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
96,0.800000,0.033617,-0.021276,0.085070,-0.995580,-0.646226,1.263113,0.081567,-0.040793,0.034732,-0.460890,0.885838,-1.055880,1.349212,0.047755,0.049982,0.090798,-0.246019,0.963708,-0.855520,1.248682,0.920417
97,0.808333,0.036458,-0.013307,0.088506,-0.995319,-0.632229,1.252965,0.081507,-0.040093,0.034115,-0.463914,0.884315,-1.055559,1.349699,0.047585,0.048749,0.094505,-0.243983,0.963932,-0.851402,1.246593,0.918692
98,0.816667,0.039801,-0.006706,0.093601,-0.994791,-0.618548,1.242615,0.081370,-0.039064,0.037292,-0.463002,0.884710,-1.055800,1.349677,0.047860,0.051416,0.093891,-0.252595,0.961632,-0.845633,1.241379,0.917756
99,0.825000,0.041977,-0.000408,0.098630,-0.994238,-0.604908,1.232629,0.081418,-0.038094,0.040273,-0.462129,0.885078,-1.056038,1.349757,0.048136,0.049701,0.098420,-0.255085,0.960612,-0.840764,1.237805,0.916583
100,0.833333,0.042776,0.006704,0.103675,-0.993668,-0.591564,1.222856,0.081414,-0.036728,0.045531,-0.458987,0.886515,-1.056429,1.349387,0.048592,0.049202,0.098278,-0.254438,0.960824,-0.836049,1.235875,0.914793
101,0.841667,0.042709,0.011911,0.109305,-0.993019,-0.578349,1.213121,0.081543,-0.035263,0.049766,-0.458000,0.886857,-1.056618,1.349213,0.049055,0.049074,0.100710,-0.261849,0.958585,-0.830179,1.230308,0.914449
102,0.850000,0.044062,0.016873,0.115921,-0.992137,-0.565510,1.203507,0.081816,-0.032892,0.054251,-0.457613,0.886885,-1.056649,1.348985,0.049644,0.049478,0.103579,-0.265643,0.957213,-0.824190,1.226149,0.913498
103,0.858333,0.046568,0.023510,0.124052,-0.990903,-0.552798,1.194057,0.081967,-0.030139,0.058683,-0.458237,0.886378,-1.056552,1.348889,0.050290,0.051229,0.106219,-0.264824,0.957059,-0.818579,1.223582,0.912022
104,0.866667,0.052916,0.028581,0.130273,-0.989653,-0.540205,1.185171,0.081660,-0.026491,0.062773,-0.459542,0.885539,-1.056425,1.348651,0.051023,0.050359,0.106440,-0.268170,0.956148,-0.812340,1.218757,0.910744
105,0.875000,0.053832,0.035573,0.137602,-0.988384,-0.528295,1.176328,0.081531,-0.022954,0.068622,-0.461128,0.884378,-1.056184,1.348409,0.052038,0.050145,0.110794,-0.271103,0.954837,-0.805938,1.214344,0.910068
106,0.883333,0.054097,0.043454,0.146051,-0.986841,-0.516639,1.167678,0.081489,-0.018109,0.074357,-0.461893,0.883628,-1.055999,1.347922,0.053110,0.051031,0.113501,-0.274674,0.953450,-0.798978,1.209634,0.908996
107,0.891667,0.059231,0.047807,0.154216,-0.985101,-0.505708,1.159554,0.080941,-0.014617,0.080176,-0.461580,0.883347,-1.056027,1.347378,0.054322,0.051112,0.116007,-0.277394,0.952356,-0.791986,1.205004,0.908192
108,0.900000,0.074758,0.056135,0.164394,-0.981955,-0.494984,1.151354,0.079820,-0.008939,0.087679,-0.461507,0.882748,-1.055798,1.346717,0.055714,0.050734,0.115082,-0.280619,0.951544,-0.784548,1.200276,0.907326
