Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
42,0.350000,0.037848,0.002724,-0.054864,0.997773,-0.406247,0.165414,0.371533,0.012512,-0.022228,0.308879,-0.950759,-0.455968,0.013385,0.366242,0.011646,0.012433,-0.172720,0.984824,-0.460466,0.101827,1.278197
43,0.358333,0.037747,0.002908,-0.054729,0.997783,-0.406305,0.165438,0.371570,0.016039,-0.024963,0.305799,-0.951634,-0.456163,0.012874,0.366597,0.011945,0.012677,-0.172253,0.984899,-0.459623,0.101357,1.278249
44,0.366667,0.037607,0.003142,-0.054570,0.997797,-0.406326,0.165463,0.371590,0.015888,-0.024753,0.305531,-0.951728,-0.456237,0.012829,0.366559,0.011721,0.012870,-0.171727,0.984991,-0.458635,0.100963,1.278334
45,0.375000,0.037341,0.003165,-0.054481,0.997811,-0.406365,0.165487,0.371604,0.015030,-0.024405,0.305326,-0.951816,-0.456277,0.012766,0.366478,0.011389,0.012952,-0.171077,0.985107,-0.457678,0.100776,1.278264
46,0.383333,0.037166,0.003220,-0.054368,0.997824,-0.406414,0.165512,0.371624,0.015406,-0.024899,0.303689,-0.952321,-0.456355,0.012459,0.366549,0.011318,0.013152,-0.170340,0.985233,-0.456913,0.100440,1.278501
47,0.391667,0.036930,0.003257,-0.054291,0.997837,-0.406463,0.165543,0.371661,0.015819,-0.026670,0.301046,-0.953105,-0.456222,0.011997,0.366781,0.010544,0.013172,-0.169226,0.985433,-0.455974,0.100065,1.278598
48,0.400000,0.036700,0.003282,-0.054189,0.997851,-0.406507,0.165574,0.371686,0.016695,-0.028734,0.300688,-0.953143,-0.456061,0.011850,0.367062,0.010802,0.013089,-0.168665,0.985527,-0.455186,0.099755,1.278778
49,0.408333,0.036416,0.003321,-0.054162,0.997862,-0.406548,0.165607,0.371722,0.016906,-0.029441,0.300503,-0.953176,-0.456072,0.011793,0.367131,0.010077,0.013513,-0.168482,0.985561,-0.454150,0.099460,1.278786
50,0.416667,0.036208,0.003393,-0.054099,0.997873,-0.406587,0.165633,0.371757,0.016802,-0.029418,0.300488,-0.953184,-0.456114,0.011759,0.367141,0.009378,0.014641,-0.167889,0.985653,-0.453339,0.099111,1.278674
51,0.425000,0.035860,0.003446,-0.054005,0.997891,-0.406629,0.165671,0.371794,0.016281,-0.029064,0.300384,-0.953237,-0.456181,0.011723,0.367117,0.009101,0.014122,-0.166945,0.985823,-0.452462,0.098924,1.278926
52,0.433333,0.035604,0.003553,-0.054019,0.997899,-0.406672,0.165703,0.371836,0.015135,-0.028019,0.300446,-0.953267,-0.456261,0.011721,0.367020,0.008828,0.014798,-0.166307,0.985924,-0.451649,0.098576,1.279020
53,0.441667,0.035348,0.003592,-0.053944,0.997912,-0.406704,0.165725,0.371873,0.015156,-0.029313,0.301506,-0.952893,-0.456217,0.011854,0.367232,0.009367,0.014061,-0.165214,0.986113,-0.450869,0.098468,1.279337
54,0.450000,0.035086,0.003641,-0.053909,0.997923,-0.406726,0.165744,0.371894,0.014820,-0.028624,0.302113,-0.952727,-0.456429,0.011914,0.367100,0.009499,0.015308,-0.164659,0.986186,-0.449877,0.098161,1.279157
