Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
38,0.316667,0.002749,0.062208,0.984887,-0.161616,0.800827,1.092685,0.050061,0.001441,-0.050209,0.988012,0.145979,0.770555,1.347899,0.051601,0.017777,0.009909,-0.999178,-0.035068,0.765234,1.198792,0.962532
39,0.325000,0.002784,0.062016,0.984907,-0.161570,0.800854,1.092673,0.050049,0.001623,-0.050541,0.988007,0.145892,0.770538,1.347870,0.051613,0.017731,0.010191,-0.999177,-0.035029,0.765256,1.197906,0.962522
40,0.333333,0.002871,0.061864,0.984913,-0.161591,0.800868,1.092659,0.050035,0.001649,-0.050785,0.987993,0.145902,0.770541,1.347853,0.051608,0.017529,0.010322,-0.999179,-0.035033,0.765330,1.196948,0.962469
41,0.341667,0.002953,0.061720,0.984926,-0.161566,0.800882,1.092646,0.050034,0.001663,-0.050863,0.987981,0.145959,0.770527,1.347827,0.051617,0.017688,0.010476,-0.999184,-0.034773,0.765382,1.196047,0.962451
42,0.350000,0.003007,0.061597,0.984935,-0.161553,0.800896,1.092630,0.050020,0.001663,-0.051108,0.987961,0.146008,0.770515,1.347807,0.051613,0.017537,0.010176,-0.999197,-0.034557,0.765542,1.195113,0.962437
43,0.358333,0.003126,0.061479,0.984948,-0.161517,0.800912,1.092615,0.050012,0.001638,-0.051529,0.987942,0.145987,0.770508,1.347802,0.051610,0.017500,0.010316,-0.999199,-0.034482,0.765600,1.194039,0.962441
44,0.366667,0.003227,0.061263,0.984969,-0.161467,0.800933,1.092607,0.049993,0.001635,-0.051709,0.987927,0.146024,0.770497,1.347786,0.051603,0.017292,0.010676,-0.999209,-0.034195,0.765577,1.193237,0.962301
45,0.375000,0.003312,0.061149,0.984984,-0.161419,0.800944,1.092584,0.049990,0.001553,-0.051925,0.987905,0.146102,0.770478,1.347764,0.051610,0.017482,0.010191,-0.999219,-0.033934,0.765718,1.192343,0.962265
46,0.383333,0.003424,0.061008,0.984997,-0.161390,0.800948,1.092565,0.049985,0.001572,-0.052240,0.987891,0.146081,0.770468,1.347745,0.051610,0.017201,0.010471,-0.999222,-0.033897,0.765718,1.191153,0.962238
47,0.391667,0.003538,0.060675,0.985024,-0.161352,0.800979,1.092549,0.049965,0.001545,-0.052627,0.987866,0.146111,0.770454,1.347730,0.051613,0.017116,0.010920,-0.999220,-0.033868,0.765817,1.190096,0.962180
48,0.400000,0.003637,0.060517,0.985041,-0.161302,0.801003,1.092530,0.049938,0.001462,-0.052949,0.987847,0.146123,0.770451,1.347711,0.051614,0.017028,0.010420,-0.999242,-0.033411,0.765930,1.189093,0.962139
49,0.408333,0.003739,0.060346,0.985055,-0.161278,0.801024,1.092512,0.049930,0.001475,-0.053409,0.987828,0.146088,0.770445,1.347695,0.051604,0.016861,0.010336,-0.999248,-0.033340,0.766108,1.187940,0.962117
50,0.416667,0.003879,0.060242,0.985072,-0.161214,0.801032,1.092494,0.049919,0.001542,-0.053978,0.987813,0.145979,0.770447,1.347708,0.051583,0.016914,0.010996,-0.999241,-0.033317,0.766033,1.186889,0.962030
51,0.425000,0.003987,0.059979,0.985095,-0.161169,0.801051,1.092466,0.049912,0.001546,-0.054288,0.987786,0.146046,0.770449,1.347675,0.051584,0.016933,0.010654,-0.999251,-0.033111,0.766104,1.185684,0.962028
52,0.433333,0.004153,0.059692,0.985126,-0.161078,0.801070,1.092441,0.049907,0.001512,-0.054691,0.987765,0.146039,0.770449,1.347659,0.051569,0.016913,0.010870,-0.999269,-0.032532,0.766213,1.184506,0.962039
53,0.441667,0.004247,0.059356,0.985148,-0.161064,0.801094,1.092412,0.049885,0.001475,-0.054807,0.987760,0.146026,0.770443,1.347634,0.051562,0.016628,0.010978,-0.999273,-0.032496,0.766336,1.183232,0.961975
54,0.450000,0.004467,0.059005,0.985185,-0.160962,0.801107,1.092381,0.049885,0.001504,-0.055042,0.987745,0.146038,0.770452,1.347618,0.051558,0.016838,0.010933,-0.999277,-0.032277,0.766406,1.181981,0.962023
55,0.458333,0.004663,0.058474,0.985228,-0.160887,0.801137,1.092338,0.049890,0.001339,-0.055151,0.987724,0.146144,0.770464,1.347591,0.051545,0.015814,0.011176,-0.999295,-0.032166,0.766413,1.180752,0.961842
